timestamp,src_ip,dst_ip,dst_port,domain,bytes_in,bytes_out,conn_count,is_malicious
2026-02-14T17:01:00.577363,10.0.0.33,192.168.1.69,3389,google.com,5217,1545,18,0
2026-02-14T17:02:00.577363,10.0.0.50,192.168.1.163,22,google.com,5178,1421,16,0
2026-02-14T17:03:00.577363,10.0.0.26,192.168.1.240,22,amazon.com,3365,1018,18,0
2026-02-14T17:04:00.577363,10.0.0.43,192.168.1.120,80,github.com,3653,780,10,0
2026-02-14T17:05:00.577363,10.0.0.42,192.168.1.106,22,github.com,6581,1383,14,0
2026-02-14T17:06:00.577363,10.0.0.47,192.168.1.233,3389,microsoft.com,4191,1337,6,0
2026-02-14T17:07:00.577363,10.0.0.28,192.168.1.161,3389,amazon.com,4698,1721,13,0
2026-02-14T17:08:00.577363,10.0.0.59,192.168.1.124,22,google.com,3794,1229,12,0
2026-02-14T17:09:00.577363,10.0.0.37,192.168.1.230,3389,github.com,7628,1485,2,0
2026-02-14T17:10:00.577363,10.0.0.55,192.168.1.93,3389,google.com,5581,1790,19,0
2026-02-14T17:11:00.577363,10.0.0.30,192.168.1.53,443,amazon.com,7614,1156,2,0
2026-02-14T17:12:00.577363,10.0.0.38,192.168.1.97,3389,amazon.com,4026,815,13,0
2026-02-14T17:13:00.577363,10.0.0.23,192.168.1.144,22,microsoft.com,5420,2289,4,0
2026-02-14T17:14:00.577363,10.0.0.55,192.168.1.78,53,google.com,4504,1600,2,0
2026-02-14T17:15:00.577363,10.0.0.35,192.168.1.24,22,google.com,4901,1257,16,0
2026-02-14T17:16:00.577363,10.0.0.47,192.168.1.231,53,github.com,4542,1548,17,0
2026-02-14T17:17:00.577363,10.0.0.18,192.168.1.25,22,google.com,4077,2036,1,0
2026-02-14T17:18:00.577363,10.0.0.44,192.168.1.26,80,github.com,5218,1935,1,0
2026-02-14T17:19:00.577363,10.0.0.16,192.168.1.5,443,amazon.com,5591,1966,14,0
2026-02-14T17:20:00.577363,10.0.0.13,192.168.1.154,22,amazon.com,3553,2118,15,0
2026-02-14T17:21:00.577363,10.0.0.14,192.168.1.149,443,amazon.com,4261,721,11,0
2026-02-14T17:22:00.577363,10.0.0.18,192.168.1.163,22,google.com,4461,1854,8,0
2026-02-14T17:23:00.577363,10.0.0.56,192.168.1.63,443,amazon.com,5147,1472,4,0
2026-02-14T17:24:00.577363,10.0.0.26,192.168.1.101,80,amazon.com,3850,1497,10,0
2026-02-14T17:25:00.577363,10.0.0.40,192.168.1.133,22,microsoft.com,3171,2028,16,0
2026-02-14T17:26:00.577363,10.0.0.15,192.168.1.133,80,amazon.com,5462,578,6,0
2026-02-14T17:27:00.577363,10.0.0.14,192.168.1.144,80,amazon.com,4667,764,19,0
2026-02-14T17:28:00.577363,10.0.0.48,192.168.1.146,443,microsoft.com,5601,1564,1,0
2026-02-14T17:29:00.577363,10.0.0.38,192.168.1.50,53,microsoft.com,5535,2275,2,0
2026-02-14T17:30:00.577363,10.0.0.22,192.168.1.218,3389,github.com,5513,1702,9,0
2026-02-14T17:31:00.577363,10.0.0.36,192.168.1.129,443,github.com,3250,1755,9,0
2026-02-14T17:32:00.577363,10.0.0.38,192.168.1.149,443,microsoft.com,4240,764,16,0
2026-02-14T17:33:00.577363,10.0.0.27,192.168.1.148,22,amazon.com,6133,1378,9,0
2026-02-14T17:34:00.577363,10.0.0.45,192.168.1.187,22,amazon.com,6281,1270,2,0
